กรันเบิร์ก	grunberg
กราฟิก	graphic
กราฟิกดีไซน์	graphic design
กริฟเฟิ่น	griffen
กริมสบี้	grimsby
กริลลี่ย์	greeley
กริ๊ก	greig
กรีนิชเมริเดียน	greenwich meridian
กอดดาร์ด, รอเบิร์ต เอช.	goddard, robert h.
กอนด์วานาแลนด์	gondwanaland
กอมเพร์ตส	gompertz
กอริ่ง	goehring
กอร์กี	gorky
กอร์ดอน, เดกซ์เตอร์	gordon, dexter
กอลแลนต์โซลด์เยอร์	gallant soldier
กันเดอรี่	gundry
กัฟฟี่	guffey
กัมป์	gump
กัลลิ่ง	galing
กัสติน	gustin
กั๊ดดอย	godoy
การ์เตอร์	garter
กาลาดินเนอร์	gala dinner
กิบบุตซ์	kibbutz
กีล์	guille
กูส	goose
กู๊ดเยียร์	goodyear
กู๊ดไนท์	goodnight
ก็อก, ฟินเซนต์ ฟาน	gogh, vincent van
ก๊าซเทอร์โมมิเตอร์	gas thermometer
ครอนเบิร์ก	kronberg
ครอฟต์	croft
ครอสสติตช์	cross-stitch
ครีมพัฟฟ์	cream puff
ครีสเติฟ	kristof
ครีเซิน	christen
คลอโรฟีลล์	chlorophyll
คลัตเติ้น	clutton
คลิน	klin
คลิป	clip
คลิฟฟ์	cliff
ควิล	quill
คอนคอยด์	conchoid
คอมพิเทชัน	competition
คอมเฟิร์ต	comfort
คอร์ส	course
คอร์เรกต์	correct
คอล	kall
คอลวินส์	colvins
คอลัมน์	column
คอลเดอเริน	calderon
คอลเลอร์	coller
คอเปล	capell
คัซเซนส์, อะเล็กซานเดอร์	cozens, alexander
คันดินสกี, วาซิลี	kandinsky, vasily
คัปเพลเลตี้	cappelletti
คัมมั่นเว็ทช์	common vetch
คัมมินโทไนต์	cummintonite
คัมเพา	campau
คัยยัม, โอมาร์	khayyam, omar
คัสเลิน	caslon
คาซัตซ่า	casazza
คาบานา	cabana
คาฟิมิก	cafemic
คารีเอิน	carion
คาร์ล็อก	carlock
คาร์เนิล	carnell
คาร์โบไนเซชัน	carbonization
คาลเดอร์โอนี่	calderone
คาวาเดิส	cavadas
คิดแนป	kidnap
คินชิป	kinship
คิลเมอร์	kilmer
คิวทิน	cutin
คิวบิซึม	cubism
คีร์กีซ	kyrgyz
คีวาติน	keewatin
คีสเซิส	kisses
คีอิสเตอร์	keister
คีเกิ่น	keegan
คีเริน	kieran
คีแนสเติ้น	kynaston
ค็อกเบิร์น	cockburn
ค๊อกส์ฟุต	cock's foot
จอยซ์	joyce
จอร์โจเน	giorgione
จัสต์เมิ่น	justman
จิลเลสพี, ดิซซี	gillespie, dizzy
จิวเอลรี	jewelry
จีออเดสิก	geodesic
จูกส์	jukes
จูจู๊บ	jujube
จูด้าห์	judah
จูเนียส	junius
จูเลียส	julius
ชรีฟ	shreeve
ชอต	schotte
ชอมสกี	chomsky
ชอร์ตครัสต์เพสทรี	shortcrust pastry
ชันต์	shunt
ชาร์ลส์	charle
ชาร์เทริ่นด์	chartrand
ชาร์โคล	charcoal
ชิลส์	shiels
ชิเชสเตอร์	chichester
ชีน, มาร์ติน	sheen, martin
ชีมเมิล	schimmel
ชุกชี	chukchee
ชูล์ตส	shultz
ซลิเชียส	siliceous
ซอร์เริลส์	sorrells
ซอลต์สเมิน	saltzman
ซอลส์เมิน	salzman
ซอลเฟิร์ด	salford
ซัตฟิน	sutphin
ซัปเปอร์	supper
ซากิเยห์	sakya
ซาดิสต์	sadist
ซานตีนา	santena
ซาร์	saar
ซาลาซาร์, อันโตเนียว เดอ	salazar, antonio de
ซาแวนนาห์	savannah
