A	এ
AACHREKAR	আচরেকার
AADA	আদা
AAMER	আমের
AAN	আন
AAQIB	আকিব
AARTI	আরতি
AASWADEKAR	অশ্বদেকার
AATHALEKAR	আথালেকার
AATISH	আতীশ
ABALA	অবলা
ABALAKANTA	অবলাকান্ত
ABANIDHAR	অবনীধর
ABANIKANTA	অবনীকান্ত
ABANIKUMAR	অবনীকুমার
ABANTIKUMAR	অবন্তীকুমার
ABAZILA	আবাজিল
ABBAS	আব্বাস
ABDULAJIJ	আবদুলআজিজ
ABDULALIM	আবদুলআলিম
ABDULGANI	আব্দুলগণি
ABDULGAPHUR	আবদুলগফুর
ABDULHAI	আব্দুলহাই
ABDULHAK	আব্দুলহক
ABDULKARIM	আবদুলকরিম
ABDULKHALIL	আবদুলখলিল
ABDULLA	আব্দুল্লা
ABDULLATIB	আবদুললতিব
ABDULMAJID	আবদুলমজিদ
ABDULRAHIM	আবদুলরহিম
ABDULRAPHIK	আবদুলরফিক
ABDULRASHID	আবদুলরশিদ
ABDUR	আবদুর
ABDURRAHIM	আবদুররহিম
ABED	আবেদ
ABEDA	আবেদা
ABEDALI	আবেদআলি
ABERDARE	আবেরডেয়ার
ABERDEEN	আবেরদিন
ABHA	আভা
ABHAIPUR	অভয়পুর
ABHARANI	আভারাণী
ABHI	অভি
ABHIJIT	আভিজিত
ABHIK	অভীক
ABHINABA	অভিনব
ABHINATH	অভিনাথ
ABHIRAM	অভিরাম
ABHIRUP	অভিরূপ
ABHISHEK	অভিষেক
ABHRA	অভ্র
ABHYANKAR	অভয়ঙ্কর
ABID	আবিদ
ABIDABIBI	আবিদাবিবি
ABIGAIL	আবিগাইল
ABILAS	অবিলাস
ABINGTON	আবিংটন
ABIRA	আবিরা
ABISSO	আবিসো
ABO	আবো
ABOHAR	অবোহার
ABOLKHEIR	আবুলখের
ABOU	আবু
ABRI	আবরি
ABROLHOS	অ্যাব্রোলহোস
ABSAROKA	আবসারোকা
ABU	আবু
ABUBAKKAR	আবুবাক্কার
ABUKALAM	আবুকালাম
ABUL	আবুল
ABULBASAR	আবুলবাসার
ABULHOSEN	আবুলহোসেন
ABULKADER	আবুলকাদের
ABULKAMAL	আবুলকামাল
ABUNDANT	আবুনডান্ট
ABUSAEID	আবুসৈয়দ
ABYSSINIA	আবিসিনিয়া
ABZUG	আবজাগ
ACCOMMODATION	অ্যাকোমোডেশান
ACHALA	অচলা
ACHALDA	অচলদা
ACHALPUR	অচলপুর
ACHAMABIBI	আচেমাবিবি
ACHARYA	আচার্য
ACHHNERA	আছনের
ACHILLE	আচিলে
ACHIN	অচীন
ACHRA	আচরা
ACKLAND	আকল্যান্ড
ACRES	অ্যাকরেস
ACROPOLIS	অকরোপোলিস
ACTINIUM	অ্যাকটিনিয়াম
ACTIVITY	অ্যাকটিভিটি
ACTUN	অ্যাকটুন
ADAIR	আদের
ADAITACHARAN	অদ্বৈতচরন
ADAM	আডাম
ADAMS	আড্যামস
ADANI	আদানী
ADARI	আদরি
ADARSHNAGAR	আদর্শনগর
ADAS	আদশ
ADAWIYA	আদায়িত
ADDAN	আদ্দান
ADDIS	আদ্দিস
ADDISON	অ্যাডিসন
ADECCO	অ্যাডেকো
ADESAR	অদেশর
ADGAON	আদগাঁও
ADHASHKUMAR	অধেশকুমার
ADHEM	আধেম
ADHIKARI	অধিকারী
ADHIRCHANDRA	অধীরচন্দ্র
ADHIRKUMAR	অধীরকুমার
ADHIRRANJAN	অধীররঞ্জন
ADIDAS	অ্যাডিডাস
ADIRONDACK	আদিরোন্দাক
ADITPARA	আদিৎপারা
