achers	阿克斯
ackley	阿克利
ackstein	阿克斯坦
acs	阿奇
addicks	阿迪克斯
adrian	阿德里安
agnelli	阿涅利
agnus	阿格纳斯
ahlberg	阿尔伯格
airwich	艾尔威克
alaric	阿拉里克
albree	奥尔布里
alciatore	阿尔恰托雷
aleksander	亚历山大
alexis	亚历克西斯
alick	阿利克
alington	阿林顿
allsop	奥尔索普
almand	奥尔芒
alspach	阿尔斯波
altshuller	阿特休勒
alven	阿尔文
amado	阿马多
ambroise	安布鲁瓦兹
amies	埃米斯
anglesey	安格尔西
annabella	安娜贝拉
anneliese	安纳利斯
anter	安特
anuchin	阿努钦
ardran	阿德兰
arkush	阿库什
arnett	阿内特
arpett	阿尔佩特
ashburnham	阿什伯纳姆
askie	阿斯基
asselstine	阿瑟尔斯坦
athena	阿西娜
atul	阿图尔
aub	奥布
austern	奥斯特恩
avalon	阿瓦隆
avans	埃文斯
awolowo	阿沃洛沃
ayler	艾勒
ayre	艾尔
baethgen	贝特根
bahrain	巴林
baird	贝尔德
baldino	鲍迪诺
bales	贝尔斯
baller	巴勒
bally	巴利
baltzly	巴尔茨利
banastre	巴纳斯特
bandler	班德勒
barabak	巴拉巴克
barelare	贝莱尔
barghoorn	巴洪
barich	巴里什
barlow	巴洛
barmore	巴莫尔
barnouw	巴尔诺
basoco	巴索科
batrus	巴特鲁斯
battle	巴特尔
bausch	鲍施
baynard	贝纳德
beahler	比勒
beaubien	伯宾
beavan	比万
beckler	贝克勒
bednall	贝德纳尔
beirn	伯恩
belfast	贝尔法斯特
bellah	贝拉
belleville	贝尔维尔
bellevue	贝尔维
bellino	贝利诺
bellport	贝尔波特
beneke	贝内克
beney	贝尼
benskin	本斯金
bentham	本瑟姆
benthin	本辛
berde	伯德
beres	贝雷斯
bergmann	伯格曼
bergmoser	伯格莫泽
bergsma	伯格斯马
berlan	伯兰
berlies	伯利斯
bernacchi	伯纳基
bernbacher	伯恩巴赫
berrington	伯林顿
beville	比维尔
biben	比本
biddleman	比德尔曼
bielan	比兰
bilbo	比尔伯
billie	比利
bindon	宾登
binning	宾宁
birdsall	伯索尔
birks	伯克斯
bischman	比斯曼
bitar	比塔尔
blackett	布莱克特
blankenhorn	布兰肯霍恩
blanning	布兰宁
blasier	布莱齐尔
bleakley	布利克利
bleicken	布莱肯
blochmann	布洛赫曼
blockey	布洛基
blue	布卢
blyde	布莱德
boas	伯厄斯
bobby	伯比
bodenheim	伯登海姆
bofinger	伯芬格
bogart	伯加特
boggon	伯冈
boillot	布瓦约
bolen	博伦
bolibaugh	伯利伯
bonosaro	伯诺萨罗
boos	布斯
bori	伯里
borlase	伯莱斯
bourk	伯克
bouton	布顿
bouvier	布维尔
bowering	鲍尔林
braderman	布拉德曼
bradley	布拉德利
braisted	布雷斯特德
branscum	布兰斯科姆
brazil	布拉齐尔
breazeale	布雷齐尔
brenon	布勒农
brighty	布赖蒂
briley	布赖利
brinckerhoff	布林克霍夫
brines	布赖恩斯
brinkerhoff	布林克霍夫
brinkley	布林克利
brisbane	布里斯班
brockden	布罗克登
brockholes	布罗克霍尔斯
brokmeyer	布罗克迈耶
bromage	布罗米奇
browkaw	布劳考
brownfield	布朗菲尔德
brownrigg	布朗里格
brubacher	布鲁巴克
bruin	布鲁因
brumwell	布伦韦尔
brutus	布鲁特斯
bryholdt	布赖霍尔特
buckfast	巴克法斯特
bulavin	布拉温
bunting	邦廷
burlison	伯利森
burmester	伯梅斯特
burnaby	伯纳比
burris	伯里斯
bushkin	布什金
bussy	伯西
butzel	巴策尔
byam	拜厄姆
byrd	伯德
cabrielson	卡布里尔森
cahners	卡纳斯
caiola	凯奥拉
calabrese	卡拉夫雷塞
calic	察利奇
callacher	加拉赫
cam	卡姆
campagnola	坎帕尼奥拉
canton	坎顿
caracciolo	卡拉乔洛
carstairs	卡斯太尔斯
catania	卡塔尼亚
catchpool	卡奇普尔
catesby	凯茨比
cather	卡瑟
cazalet	卡扎勒特
celman	塞尔曼
chakravarty	查克拉瓦蒂
chanda	香达
chandra	钱德拉
charlotte	夏洛特
chaundler	昌德勒
cheminint	切米宁特
chi	志
childers	奇尔德斯
chinn	钦
chipman	奇普曼
chomsky	乔姆斯基
christophersen	克里斯托弗森
claudine	克劳丁
claverhouse	克拉弗豪斯
clay	克莱
clell	克莱尔
clermont-ferrand	克莱蒙费朗
clintock	克林托克
clissitt	克利西特
clive	克莱夫
clogg	克洛格
cloughry	克劳里
clouse	克劳斯
cloy	克洛伊
cluett	克卢特
cochrance	科克伦斯
cockley	科克利
coddry	科德里
coghill	科格希尔
colcord	科尔克德
colomb	科洛姆
colotka	佐洛特卡
compere	康佩尔
conable	科纳布尔
conat	科纳特
conde	康德
condit	康德特
connell	康奈尔
connop	康诺普
conpors	康波斯
conrad	康拉德
contini	康蒂尼
coombe	库姆
coons	孔斯
coorsh	库尔什
copinard	科皮纳德
cordan	科登
corinne	科琳
cosh	科什
costar	科斯塔
cotesworth	科茨沃斯
cothern	科瑟恩
coubertin	顾拜旦
cove	科夫
crae	克雷
cramp	克兰普
cranmer	克兰默
craster	克拉斯特
craufurd	克劳弗德
creanza	克林扎
creaser	克里泽
creede	克里德
cremer	克里默
cremin	克雷明
cristina	克里斯蒂纳
croake	克罗克
cromwell	克伦威尔
cronje	克龙涅
crosson	克罗森
crosswell	克罗斯韦尔
crowa	克罗瓦
croyaley	克罗亚利
culbertone	卡伯通
cutrona	卡特罗纳
danter	丹特
darden	达登
darrin	达林
daspit	达斯皮特
davison	戴维森
dcosta	德科斯塔
deconcini	德孔西尼
deepe	迪普
deeves	迪夫斯
degville	德格维尔
dehoff	德霍夫
delahanty	德拉汉蒂
delaunay	德劳奈
delboeuf	德尔伯夫
delves	德尔夫斯
deneys	德尼斯
denville	登维尔
depackh	德帕克
desha	迪沙
devans	德万斯
deweese	德威斯
dicken	迪肯
digby	迪格比
dillenback	迪伦巴克
dinghy	丁吉
ditmas	迪特马斯
dmitriev	德米特里耶夫
dobish	多比什
doleman	多尔曼
dollfus	多尔菲斯
dorfman	多尔夫曼
dorothea	多萝西娅
dotts	多茨
dougan	杜根
drain	德雷恩
draughon	德劳恩
dreyfuss	德赖弗斯
dritz	德里茨
druckenbrod	德鲁肯布罗德
drumm	德拉姆
dudley	达德利
dugdale	达格代尔
dukakis	杜卡基斯
duly	杜利
dumesnil	杜梅斯尼尔
dunbar	邓巴
dunlop	邓洛普
dunnett	邓尼特
dunton	邓顿
dunwody	邓沃迪
dustin	达斯廷
dyal	戴尔
dysinger	戴辛格
eastland	伊斯特兰
ector	埃克特
edginton	埃金顿
edgray	埃德格雷
edmister	埃德米斯特
egarmatz	埃加马茨
egil	埃吉尔
ehrlich	埃利希
eidman	艾德曼
eielson	艾尔森
eisenstadt	艾森斯塔特
ekstrom	埃克斯特龙
elhinney	埃尔希尼
elkan	埃尔肯
ellwand	埃尔万
emch	埃姆什
emich	埃米赫
emission	埃米申
emond	埃蒙德
entire	恩太尔
erik	埃里克
eschenburg	埃申堡
esmond	埃斯蒙德
estes	埃斯蒂斯
eure	厄尔
evennett	伊文尼特
every	埃夫里
faddin	法丁
fahri	法赫里
failey	费利
fairbairn	费尔贝恩
fairholme	费尔霍姆
fairweather	费尔韦瑟
falck	福尔克
falwasser	法尔瓦瑟
farin	法林
faryon	法里恩
fass	法斯
favini	法维尼
favreau	法夫罗
fede	费德
feer	菲尔
feherenbacher	费伦巴赫尔
fellman	费尔曼
felltham	费尔萨姆
ferrari	费劳里
fillipy	菲利皮
finklestein	芬克尔斯坦
fischetti	菲谢蒂
fleischer	弗莱舍
fleming	弗莱明
flow	弗洛
flowers	弗劳尔斯
foellinger	福林杰
foltz	福尔茨
foney	福尼
foot	富特
fornoff	福尔诺夫
forrest	福里斯特
forsey	福西
fougeron	富热龙
foyle	福伊尔
francis	弗朗西斯
freyberg	弗赖伯格
frooks	弗鲁克斯
fuhrman	富尔曼
gaddis	加迪斯
gaggero	加格罗
gahey	加希
gajus	盖厄斯
gammel	甘默尔
ganzfried	甘兹弗赖德
garaffa	加拉法
garcon	加肯
gardham	加德姆
garlies	加里斯
garnick	加尼克
gartin	加廷
gaud	加德
gaydon	盖登
gaylin	盖林
geddes	格迪斯
gehret	格雷特
geleyn	盖莱恩
gellermann	盖勒曼
gelles	盖利斯
geltz	格尔茨
gemma	吉马
geory	乔里
gerety	格雷蒂
geyl	盖尔
gholson	戈尔森
gier	吉尔
gjellerup	盖勒鲁普
glass	格拉斯
glitman	格利特曼
glyn	格林
goffio	戈菲奥
golds	戈尔兹
gonnet	戈内
goodbye	古德拜
goold	古尔德
gorrell	戈雷尔
goujon	古戎
govea	戈韦亚
graae	格雷
grader	格雷德尔
grahame	格雷厄姆
grandison	格兰迪森
grave	格雷夫
graybeal	格雷比尔
greenhead	格林黑德
grillparzer	格里尔帕策
groel	格罗尔
groo	格鲁
groocock	格鲁科克
grossmann	格罗斯曼
grumell	格鲁梅尔
gryson	格里森
guardiano	瓜迪亚诺
gubb	格布
guerro	格罗
guffey	古费
guichard	吉夏尔
guinn	吉恩
gurtov	格托夫
guterman	古特曼
guth	古思
guys	居伊
guzanov	古扎诺夫
gwatkin	格沃特金
gwendolen	格温德林
haavikko	哈维科
hagey	哈吉
hailperin	黑尔珀林
hallan	哈伦
halsbury	哈尔斯伯里
ham	哈姆
hambro	汉布罗
hamolsky	哈莫尔斯基
hamon	哈蒙
handt	汉特
hansson	汉松
harben	哈本
harcourt	哈考特
hard	哈德
harlfinger	哈尔芬格
harnes	哈尼斯
hartgraves	哈特格雷夫斯
hartshorn	哈茨霍恩
hartwell	哈特韦尔
harwick	哈威克
haslam	哈斯拉姆
hatt	哈特
hauck	豪克
hause	豪泽
hayhow	海豪
heatter	希特
heaver	希弗
hector	赫克托
heebner	希布纳
hefeld	霍菲尔德
heilborn	埃尔博恩
heilner	海尔纳
heimann	海曼
heinze	海因策
heitner	海特纳
helfferich	赫尔弗里希
hellenbrand	海伦布兰德
henri	亨利
henrich	亨里希
hepburne	赫伯恩
hermelin	赫尔梅林
herschensohn	赫欣索恩
hetzler	赫茨勒
heydon	海登
heygate	海盖特
hieatt	海厄特
hillard	希拉德
hipp	希普
hodge	霍奇
hohenlohe	霍恩洛厄
holand	霍兰
holben	霍尔本
hollenbeck	霍伦贝克
hollister	霍利斯特
holmstedt	霍姆斯太特
honan	霍南
hookham	胡卡姆
horacio	奥拉西奥
horrworth	霍沃斯
horsefield	霍斯菲尔德
horwood	霍伍德
housh	胡什
hoyt	霍伊特
hubbert	哈伯特
huddle	赫德尔
huggard	哈加德
huggins	哈金斯
hummer	赫默
huntoon	亨通
hurst	赫斯特
husseini	胡塞尼
hutchison	哈奇森
hyde	海德
hyssong	希松
ibarra	伊瓦拉
ines	伊内丝
inez	伊内兹
inglis	英格利斯
ippen	伊彭
isidor	伊西多
iskandar	伊斯坎德尔
itteilag	伊太拉格
jackie	杰基
jacqueminot	雅克米诺
janecek	亚内切克
janvuer	詹维尔
jarden	甲登
jascha	雅舍
jelke	杰尔克
jelly	杰利
jerry	杰里
jewell	朱厄尔
john	约翰
jordre	乔德尔
jose	乔斯
junge	容格
jury	朱里
kadane	卡登
kahane	卡亨
kainen	凯南
kalamazoo	卡拉马祖
kanline	坎兰
kartveli	卡特维利
katzenberger	卡曾伯格
katzin	卡斤
kaylor	凯勒
keats	基茨
kebbon	凯本
keele	基尔
keigwin	凯格温
keller	凯勒
kendeigh	肯迪
kenmore	肯莫尔
kennet	肯尼特
kepper	凯珀
kerley	克利
kershner	克什纳
khoury	库利
kilgallen	基尔加伦
kille	基利
killin	基林
killingsborgh	基林斯堡
kimball	金伯尔
kimmel	金梅尔
king	金
kinsey	金西
kittredge	基特里奇
klosson	克洛森
klunder	克隆德
knighton	奈顿
knopp	诺普
knot	诺特
knowlan	诺兰
kockler	科克勒
koenke	凯恩克
kogok	科戈克
kohlmeier	科尔迈耶
kolbye	科尔比
kolchin	科尔钦
kopf	科普夫
kossin	科辛
kozuch	科祖克
kraayvanger	克赖范格尔
kraepelin	克雷珀林
kraybill	克雷比尔
kreyssig	克赖西希
kronholz	克朗霍尔兹
kucher	库彻
kulikov	库利科夫
kunsemiler	孔斯米勒
kupperman	库珀曼
kyle	凯尔
lacvey	拉科维
lamaster	拉马斯特
lambourne	兰伯恩
langenwalter	兰根瓦尔特
lasker	拉斯克
latoszewski	拉托谢夫斯基
lauth	劳斯
lavinia	拉维尼娅
lavorel	拉沃里尔
layinka	莱因卡
leale	利尔
leatham	利瑟姆
lebeau	勒伯
lefter	莱夫特
legg	莱格
leinbach	莱因巴克
leinenbach	莱嫩巴克
lelio	莱利奥
lent	伦特
leroux	勒鲁
lessenberry	莱森伯里
letsche	莱奇
levins	莱文斯
lewers	卢尔斯
lewman	卢曼
lilienthal	利连索尔
linck	林克
linstad	林斯塔德
lintern	林特恩
linza	林扎
lione	莱昂纳
lipper	利佩尔
lipshutz	利普舒茨
lisker	利斯克
littlejohn	利特尔约翰
liveright	利夫莱特
lockman	洛克曼
lockmiller	洛克米勒
lockspeiser	洛克斯皮泽
lorant	洛伦特
lorge	洛奇
lot	洛特
lounsberry	劳恩斯伯里
lucero	卢塞罗
lusk	勒斯克
luthringer	卢斯林格
maas	马斯
macdonough	麦克多诺
mackworth	麦克沃斯
madeira	马迪拉
maidstone	梅德斯通
maier	梅尔
maija	迈亚
majeski	马耶斯基
mallen	马伦
malley	马利
manatose	马纳托斯
maneri	马纳里
manfredi	曼弗雷迪
mansell	曼塞尔
marek	马雷克
maresca	马雷斯卡
marlock	马洛克
martinez	马丁内斯
martnelli	马蒂内利
martuge	马图格
martz	马茨
marwick	马威克
masaccio	马萨乔
mashek	马谢克
