aalto	אלטו
aamir	עאמיר
aarhus	ארהוס
aaronsohn	ארונסון
aatef	עאטף
ababa	אבאבא
ababil	אבאביל
abadan	עבדאן
abane	עבאן
abba	אבא
abbas	עבאס
abbass	עבאס
abbassi	עבאסי
abboud	עבוד
abdallah	עבדאללה
abdoh	עבדו
abdou	עבדו
abdoulaye	עבדולאי
abduh	עבדוה
abdulaziz	עבדולעזיז
abdullah	עבדאללה
abebe	אביבי
abedi	עבידי
abel	אבל
abeokuta	אביוקוטא
abercrombie	אברקרומבי
abhur	אבחור
abie	אבי
abigail	אביגייל
abkhazia	אבחאזיא
abraham	אברהם
abrahams	אבראהאמז
abraj	אבראג'
absalom	אבסאלום
abud	עבعד
acasuso	אקאסוסו
accademia	אקאדימיה
accra	אקרא
ackerman	אקרמאן
aconcagua	אקונקאגוא
acosta	אקוסטא
acrobat	אקרובאט
acuna	אקונא
acutifolia	אקיוטיפוליא
adair	אדייר
adam	אדם
adan	אדן
adana	עדאנא
ade	עאד
adel	עאדל
adelaide	אדיליاד
adelstein	אדלסטין
aden	עדן
adhan	אדאן
adi	עדי
adib	אדיב
adidas	אדידס
adir	אדיר
adivasi	אדיבאסי
adler	אדלר
adnan	עדנאן
adolf	אדולף
adolph	אדולף
adonis	אדוניס
adorno	אדורנו
adrian	אדריאן
adriana	אדריאנא
adriano	אדריאנו
adriatic	אדריאטיק
advocaat	אדבוקאט
adwan	עדואן
adygea	אדיגיא
aeroflot	אירופלוט
aes	איס
afar	עפאר
affleck	אפליק
afghani	אפגאני
afghanistan	אפגנסיטאן
afia	עאפיה
africa	אפריקא
afrikaner	אפריקאנר
agab	עגב
again	אגיין
agam	עגם
agassi	אגאסי
agatha	אגאתא
aghahowa	אגאהווא
aghily	עגילי
agnon	עגנון
agranat	אגרנט
agrippa	אגריפא
aguero	אגוירו
aguilar	אגוילאר
aguilera	אגוילירא
aharon	אהרון
ahern	אהירן
ahmad	אחמד
ahmed	אחמד
aikido	איקידו
aimar	אימאר
aires	אריס
aissati	עיסאטי
ajab	עג'ב
ajax	איג'אקס
ajram	ע'גרם
ak	אק
akaki	אקאקי
akayev	אקאייב
akhalkalaki	אכאלקאלאקי
akhmeteli	אכמיטילי
akihito	אקיהיטו
akkad	עקאד
akl	עקל
akrour	עקרור
alaam	עאלם
alahram	אלאהראם
alaidy	אלעאידי
alain	אליין
alali	אלעלי
alalwani	אלעלואני
alami	עלמי
alan	אלן
alansari	אלאנסארי
alanwar	אלאנואר
alaska	אלאסקא
alaskan	אלסקאן
alassad	אלאסד
albaath	אלבעת
albahri	אלבחרי
albania	אלבניה
albanian	אלבייניאן
albanna	אלבנא
albari	אלבארי
albayrak	אלבאירק
albayyati	אלבאיאטי
albert	אלברט
alberta	אלברטא
alberto	אלברטו
albi	אלבי
albin	אלבין
album	אלבום
alcntara	אלקנטארא
aldair	אלדייר
aldo	אלדו
aldrin	אלדרין
alec	אליק
alegre	אליגרי
aleksander	אלקסנדר
aleksandr	אלקסנדר
aleksei	אלקסיי
aleman	אלימאן
alex	אלקס
alexandra	אלקסנדרא
alexandre	אלקסנדר
alexandrina	אלקסאנדרינא
alexei	אליקסיי
alfa	אלפא
alfida	אלפידא
alfons	אלפונס
alfonso	אלפונסו
alfredo	אלפרידו
alghifari	אלגיפארי
alhamadi	אלחמאדי
ali	עלי
alia	עליא
aliaksandr	אליאקסאנדר
alice	אליס
alicia	אליסיא
alighieri	אליגיירי
alikhani	עליחאני
alina	אלינא
alioui	עליוי
aliqulov	עליקולוב
alisfahani	אלאיספהאני
alistair	אליסטיר
aliyev	עלייב
aljabal	אלג'בל
aljaber	אלג'אבר
aljaldaki	אלג'לדאקי
alla	עלא
allah	אללה
allal	עלאל
allam	עלאם
allan	אלאן
allen	אלן
allenby	אלנבי
allianz	אליאנז
alloudi	עלודי
allouni	עלוני
allyson	אליסון
almahdi	אלמהדי
almaimani	אלמאימני
almajid	אלמג'יד
almanfaluti	אלמנפלוטי
almaszadeh	אלמאסזאדה
almaty	אלמאטי
almeida	אלמידא
almenbar	אלמנבר
almeyda	אלמידא
almodovar	אלמודובאר
almog	אלמוג
almunia	אלמוניא
almurshid	אלמורשיד
alnemri	אלנמרי
aloni	אלוני
alonzo	אלונזו
aloysius	אלאוישס
alshahid	אלשהיד
alsiqilli	אלסיקילי
alta	אלטא
altai	אלטאי
altman	אלטמאן
alton	אלטון
alvarado	אלבאראדו
alvaro	אלבארו
alzheimer	אלזהאימר
amal	אמל
amalia	אמאליא
amanda	אמאנדא
amapa	אמאפא
amar	עמאר
amartya	אמארטיא
amatzia	אמציה
ambrose	אמברוס
amedeo	אמידיו
amer	עאמר
american	אמריקן
ami	עאמי
amichai	עמיחי
amin	אמין
amioun	אמיון
amir	עאמיר
amira	אמירה
amit	אמית
amitav	אמיטב
amman	עמאן
ammar	עמאר
ammonium	אמוניום
amnon	אמנון
amor	עמור
amos	עמוס
amr	עמר
amram	עמרם
amritsar	אמריטסאר
amsterdam	אמסטרדאם
amundsen	אמונדסן
amuneke	אמוניק
amuro	אמורו
an	אן
ana	אנא
anabta	ענאבטא
anaheim	אנאהאים
anand	אנאנד
anastasia	אנאסטייז'ה
anastasius	אנאסטאסיוס
anatol	אנאטול
anatoly	אנאטולי
ander	אנדר
anders	אנדרז
andersen	אנדרסן
anderssen	אנדרסן
andoni	אנדוני
andorra	אנדורא
andranik	אנדראניק
andre	אנדריי
andrea	אנדריא
andreas	אנדריאס
andres	אנדריס
andresen	אנדרסן
andrew	אנדרו
andrey	אנדריי
andria	אנדריא
andriy	אנדרי
andronicus	אנדרוניקוס
ang	אנג
angela	אנגילא
angeles	אנג'ליס
anglia	אנגליא
ani	אני
animaniacs	אנימאניאקס
anita	אניטא
anka	אנקא
ankara	אנקרה
anna	אנא
annabi	ענאבי
annan	ענאן
anne	ען
annie	אני
anno	אנו
annunziata	אנונסיאטא
anomer	אנומר
anselm	אנסילם
anselmo	אנסילמו
antalya	אנטאליא
antananarivo	אנטאנאנאריבו
antar	ענטר
antarctica	אנטארקטיקא
anthony	אנתוני
anton	אנטון
antonescu	אנטוניסקו
antonia	אנטוניא
antonin	אנטונין
antonius	אנטוניוס
anubis	אנוביס
aono	אונו
aosta	אוסטא
aoun	עאון
aphrodite	אפרודאיטי
apocalyptica	אפוקאליפטיקא
apollinaris	אפולינאריס
apollo	אפולו
apolo	אפולו
apophis	אפופיס
apostol	אפוסטול
apso	אפסו
apulia	אפוליא
aqaba	עקבה
aquitaine	אקויטיין
ara	ערא
arabian	ארייביאן
aractingi	ערקטינגי
arad	אראד
arae	אראי
arafat	ערפאת
aramid	אראמיד
arana	אראנא
aranha	אראנא
arar	עראר
arazi	ארזי
arba	ארבע
arbel	ארביל
arbid	ערביד
arbil	ארביל
arca	ארקא
ardahan	ארדאהאן
ardashir	ארדשיר
ardiles	ארדיליס
aref	עארף
arghun	ארגון
ariadne	אריאדני
arief	עריף
ariel	אריאל
arik	אריק
aristide	אריסטיד
aristides	אריסטידיס
aristizabal	אריסטיזאבאל
aritomo	אריטומו
arizona	אריזונא
arjun	ארג'ון
arkansas	ארקנסו
arkhangelsk	ארכאנגילסק
arlen	ארלין
armando	ארמאנדו
armenia	ארמיניא
armia	ארמיא
armin	ארמין
arnaud	ארנו
arnaut	ארנוט
arne	ארני
arnon	ארנון
aron	ארון
arraba	אראבא
ars	ארס
arsen	ארסן
arshavin	ארשאבין
arslan	ארסלאן
artem	ארטים
artemis	ארטימיס
arthur	ארתור
arturo	ארטורו
artzi	ארצי
arun	ארון
arutz	ערוץ
asad	אסד
asaf	עסאף
asahara	אסאהארא
asakir	עסאקיר
asamoah	אסאמוא
asatiani	אסאטיאני
ascii	אסקי
ascoli	אסקולי
ash	אש
ashcroft	אשקרופט
ashdod	אשדוד
ashdown	אשדאון
asher	אשר
ashkenazi	אשכנזי
ashley	אשלי
ashour	עאשור
ashraf	אשרף
ashrawi	עשראוי
asi	עאסי
asia	איז'א
asier	אסייר
asik	אסיק
asimo	אסימו
aslan	אסלאן
asmahan	אסמהאן
asmara	אסמרא
asror	אסרור
assad	אסד
assaf	עסאף
assem	עאסם
assi	עאסי
assia	אסיא
assisi	אסיסי
assoumani	עסומאני
asti	אסטי
aston	אסטון
astrid	אסטריד
astro	אסטרו
asturias	אסטוריאס
asuncion	אסונסיון
ata	עטא
atar	עטאר
atarot	עטרות
ataturk	אטאטורק
atef	עאטף
athletic	אתלטיק
athos	אתוס
atkinson	אטקינסון
atlantic	אטלאנטיק
atlas	אטלס
atletico	אטלטיקו
atomic	אטומיק
attenborough	אטנבורו
attia	עטיה
attias	אטיאס
attica	אטיקא
atwood	אטווד
aubrey	אוברי
audin	אודן
audo	אודו
audrey	אודרי
augsburg	אוגסברג
augusta	אוגוסטא
auguste	אוגסט
augustin	אוגסטין
augusto	אוגוסטו
auhah	עוהה
aumann	אומאן
aung	אונג
aurel	אורל
aurelius	אוריליוס
austin	אוסטין
australia	אוסטראליא
austria	אוסטריא
avalon	אבאלון
avigdor	אביגדור
avishai	אבישי
avivim	אביבים
avner	אבנר
avni	אבני
avogadro	אבוגאדרו
avraham	אברהם
avram	אברם
avril	אבריל
avro	אברו
avshalom	אבשלום
avtovaz	אבטובאז
awad	עוואד
axum	אקסום
ayache	עיאש
ayala	איילה
ayalon	אילון
ayan	עיאן
ayil	עאיל
ayman	איימאן
ayoob	איוב
ayouch	עיוש
ayoun	עיון
ayrshire	אירשאיר
ayrton	אירטון
ayyash	עיאש
azad	אזאד
azali	אזאלי
azar	אזאר
azarenka	אזארינקא
azd	אזד
azilal	אזילאל
aziz	עזיז
azizi	עזיזי
azizou	עזיזו
azmi	עזמי
azouz	עזוז
azzam	עזאם
ba	בא
baal	בעל
baalbek	בעלבק
baba	באבא
babacan	באבאקאן
babacar	באבאקר
babangida	באבנגידא
babi	באבי
babylon	באבילון
bacardi	באקארדי
bacary	בקארי
bacau	באקאו
bachchan	באצ'אן
bachelet	באשילה
bachir	בשיר
bachmann	באכמאן
bacon	בייקון
badalona	באדאלונא
badar	בדר
bader	באדר
badilla	באדילא
badir	באדר
badoglio	באדוליו
badou	באדו
badr	בדר
badran	בדראן
badu	בדו
baecke	בקי
baekeland	ביקלאנד
baer	באיר
baeyer	באיר
baeza	באיזא
bagayoko	באגאיוקו
bagdadi	בגדאדי
baghdad	בגדאד
baghdadi	בגדאדי
bagheri	באגרי
bah	באה
bahadori	בהאדורי
bahamas	באהאמאס
bahar	בחר
baher	באהר
bahi	באהי
bahia	באהיא
bahir	בהיר
bahja	בהג'א
bahnini	בחניני
bahr	בחר
bahrain	בחריין
bahram	בהראם
bahrani	בחראני
bahro	באהרו
bai	באי
baibars	באיבארס
baidachny	באידאצ'ני
baikal	באיקאל
bajer	באיר
bajram	באירם
bak	באק
bakala	באקאלא
bakar	בקר
bakari	באקארי
bakdash	בקדאש
baker	בייקר
bakhit	בכיט
bakhoum	באכום
bakhtiar	בכטיאר
bakkati	בקאטי
bakr	בקר
bakri	בקרי
bakshi	באקשי
baku	באקו
balaban	באלאבאן
balash	בלאש
balaton	באלאטון
balbo	באלבו
balboa	באלבוא
balde	באלדי
baldry	באלדרי
baldur	באלדור
bale	בייל
balel	באלל
balhous	בלחוס
bali	באלי
baligh	באליג
balint	באלינט
baljic	באליטש
balkan	בלקאן
balkans	באלקאנז
ballesta	באייסטא
ballistic	באליסטיק
ballmer	באלמר
ballut	בלוט
balmer	באלמר
balmont	באלמונט
baloncieri	באלונשיירי
balotelli	באלוטילי
baloyi	באלויי
baltaah	בלטעה
baltasar	באלטאסאר
balti	באלטי
baltimore	באלטימור
bamako	באמאקו
bambang	באמבאנג
bambi	באמבי
bamir	באמיר
bamlett	באמלט
bammer	באמר
bamrung	באמרונג
bamyan	באמיאן
banach	באנאך
banana	בננה
bancarel	באנקאריל
bandar	באנדאר
bandaranaike	באנדאראנאיקה
bandeira	באנדירא
banderas	באנדיראס
bandler	באנדלר
bando	באנדו
bangalore	באנגאלור
bangka	באנגקא
bangkok	באנקוק
bangladesh	בנגלאדש
bangoura	באנגורא
banjo	באנג'ו
banks	באנקס
banksy	באנקסי
bannatyne	באנאטין
bantustan	באנטוסטאן
bar	באר
barack	ברק
baraja	באראכא
barak	ברק
baram	באראם
baramidze	באראמידזה
barazite	באראזאיט
barbados	בארבאדוס
barbara	בארברא
barbarossa	בארבארוסא
barbera	בארבירא
barbosa	בארבוסא
barbour	בארבור
barbra	בארברא
barcelata	בארסילאטא
barcham	ברצ'ם
barclay	בארקליי
bardem	בארדם
bardon	בארדון
bardsley	בארדסלי
barenboim	בארינבוים
baresi	באריזי
barghouti	ברגותי
barhom	ברהום
baric	באריטש
barison	באריסון
barka	ברקה
barker	בארקר
barkley	בארקלי
barlach	בארלאך
barmada	ברמדא
barmos	בארמוס
barnaul	בארנול
barnea	בארניא
barnet	בארניט
barnetta	בארניטא
baronio	בארוניו
baroti	בארוטי
baroud	בארוד
barr	בר
barragan	בראגאן
barrancos	באראנקוס
barranquilla	באראנקוילא
barro	בארו
barron	בארון
barroso	בארוסו
barry	בארי
barrymore	בארימור
bart	בארט
barthes	בארט
barthez	בארטיז
bartlett	בארטלט
bartoli	בארטולי
bartolomeo	בארטולומיו
bartolucci	בארטולוצ'י
barton	בארטון
bartosz	בארטוש
bartter	בארטר
baruch	ברוך
barukh	ברוך
barusso	בארוסו
barzagli	בארזאלי
basel	באסל
basescu	באסיסקו
bashar	בשאר
bashi	באשי
bashir	בשיר
basho	באשו
basil	באסל
basile	באסיל
basinas	באסינאס
basinger	באסינגר
basler	באסלר
basma	בסמה
basri	בסרי
bassala	באסאלא
bassel	באסל
bassem	באסם
bassi	באסי
bassila	באסילא
bassim	באסים
basten	באסטן
bastian	באסטיאן
basto	באסטו
batatu	בטאטו
bataysk	באטאיסק
bates	בייטס
bathory	באטורי
batista	באטיסטא
batistuta	באטיסטוטא
batlles	באטלס
batman	באטמאן
batroun	בטרון
bats	באטס
batt	באט
batta	באטא
batteux	באטו
battir	בטיר
battista	באטיסטא
battisti	באטיסטי
battiston	באטיסטון
batu	באטו
bau	בו
baudelaire	בודליר
baudrillard	באודרילארד
bauer	באוור
bauhaus	באוהאוס
baume	בום
bay	ביי
bayda	ביידא
bayer	באיר
bayezid	באיזיד
baykal	באיקאל
bayoumi	באיומי
bayrou	באירו
baysse	באיס
bazooka	באזוקא
bazzani	באזאני
bea	בי
beadle	בידל
beardsley	בירדזלי
bearzot	בירזוט
beatrice	ביאטריס
beatrix	ביאטריקס
bebeto	ביביטו
becher	בישר
beckenbauer	בקנבאור
becker	בקר
beckham	בקהאם
beda	בידא
bedi	בדי
bedjaoui	בג'אוי
bedrich	בדריש
beenhakker	בינהאקר
beer	ביר
begag	בגאג
begin	בגין
behan	ביהאן
behcet	בהקט
behrami	בהראמי
behtash	בהטאש
behzadi	בהזאדי
beidas	ביידאס
beilin	בילין
beinisch	ביניש
beirut	בירות
beiteinu	ביתנו
bejbl	בייבל
bek	בק
bela	בילא
belaid	בילייד
belal	בלאל
belarus	בלארוס
belaya	בילאיא
belgrade	בלגראד
belgrano	בילגראנו
belhadj	בלחאג'
belin	בילין
belitung	בליטונג
belize	בליז
belkacem	בלקאסם
bell	בל
bella	בילא
bellamy	בילאמי
belleri	בלירי
bellini	ביליני
bellion	בליון
bello	בלו
bellone	בילוני
belloumi	בלומי
bellugi	בלוגי
belmondo	בלמונדו
belmont	בלמונט
belo	בלו
belozoglu	בילוזוגלו
belqas	בלקאס
belqola	בלקולה
belyzel	ביליזל
bem	בם
ben	בן
benaderet	בנאדרת
benaglio	בינאגליו
benayahu	בנאיאהו
bendtner	בנדטנר
bene	בני
benedetto	בינידטו
benedict	בנדיקט
benedictine	בינידיקטין
benelux	בנילוקס
benenson	ביניסון
benes	בנס
benetti	בניטי
benghazi	בנגאזי
benhassi	בנחסי
benicio	ביניסיו
benigni	בניני
benin	בנין
benitez	ביניטיז
benito	ביניטו
benjamin	בנג'אמין
benjani	בנג'אני
benko	בינקו
benn	בן
benneteau	בניטו
bennett	בנט
benni	בני
bennington	בנינגטון
bennis	בניס
benno	בינו
benny	בני
benoit	בינוא
benson	בנסון
bent	בנט
bentley	בנטלי
benyamin	בנימין
benz	בנז
benzarti	בנזארטי
bercellino	ברצ'לינו
berdych	בירדיטש
berezutski	ברזוצקי
berg	בירג
berger	ברגר
bergeroo	בירגירו
berggreen	ברגרין
berggren	בירגרין
bergman	ברגמאן
bergmann	ברגמאן
bergomi	בירגומי
bergougnoux	בירגוניו
bergson	ברגסון
bering	בירינג
berkeley	בירקלי
berkman	בירקמאן
berkshire	בירקשיר
berl	בירל
