A'MARIE	ಅಮಾರೀ
AA GALE LAG JA	ಆ ಗಲೇ ಲಗ್ ಜಾ
AA'IDAH	ಆಇದಾ
AABHAA	ಆಭಾ
AABHIJAT	ಆಭಿಜಾತ್
AABIRAH	ಆಬಿರಾ
AABSHAR	ಆಬಶರ್
AACHAARYANANDANAA	ಆಚಾರ್ಯನಂದನಾ
AACHAARYASUTAA	ಆಚಾರ್ಯಸುತಾ
AACHAARYNANDAN	ಆಚಾರ್ಯನಂದನ್
AACHAARYNANDANA	ಆಚಾರ್ಯನಂದನಾ
AACHAARYNANDANAA	ಆಚಾರ್ಯನಂದನಾ
AACHAARYSUTA	ಆಚಾರ್ಯಸುತ
AACHARYANANDAN	ಆಚಾರ್ಯನಂದನ್
AACHARYASUTA	ಆಚಾರ್ಯಸುತ
AACHARYASUTAA	ಆಚಾರ್ಯಸುತಾ
AACHARYSUT	ಆಚಾರ್ಯಸುತ
AACHARYSUTA	ಆಚಾರ್ಯಸುತ
AACHREKAR	ಆಚರೇಕರ್
AADARSH	ಆದರ್ಶ್
AADARSHI	ಆದರ್ಶಿ
AADAT SE MAJBOOR	ಆದತ್ ಸೆ ಮಜಬೂರ್
AADHARSHILA	ಆಧಾರಶೀಲಾ
AADHI RAAT KE BAAD	ಆದಿ ರಾತ್ ಕೆ ಬಾದ್
AADHI ROTI	ಆದಿ ರೋಟಿ
AADI	ಆದಿ
AADIKAVI	ಆದಿಕವಿ
AADINAARAAYAN	ಆದಿನಾರಾಯಣ
AADINAARAYAN	ಆದಿನಾರಾಯಣ
AADISHREE	ಆದಿಶ್ರೀ
AADITY	ಆದಿತ್ಯ
AADITYA	ಆದಿತ್ಯ
AADITYAKESHAV	ಆದಿತ್ಯಕೇಶವ್
AADITYAVARDHAN	ಆದಿತ್ಯವರ್ಧನ್
AADITYNANDAN	ಆದಿತ್ಯನಂದನ್
AADMI	ಆದಮಿ
AADMI AUR INSAAN	ಆದ್ಮಿ ಔರ್ ಇನ್ಸಾನ್
AAFAT	ಆಫತ್
AAFIYA	ಆಫಿಯಾ
AAG AANDHI AUR TOOFAN	ಆಗ್ ಆಂಧಿ ಔರ್ ತೂಫಾನ್
AAG HI AAG	ಆಗ್ ಹಿ ಆಗ್
AAG KA DARIYA	ಆಗ್ ಕಾ ದರಿಯಾ
AAG KA TOOFAN	ಆಗ್ ಕಾ ತೂಫಾನ್
AAG KE SHOLAY	ಆಗ್ ಕಿ ಶೋಲೋ
AAGALE	ಆಗಲೇ
AAGE KI SOCH	ಆಗ್ ಕೀ ಸೋಚ್
AAHI	ಆಹಿ
AAHLAADIT	ಆಹ್ಲಾದಿತ್
AAHLAD	ಆಹ್ಲಾದ್
AAHLADIT	ಆಹ್ಲಾದಿತ್
AAHWANIT	ಆಹ್ವಾನಿತ್
AAINA	ಆಯಿನಾ
AAJ KA ARJUN	ಆಜ್ ಕಾ ಅರ್ಜುನ್
AAJ KA DAUR	ಆಜ್ ಕಾ ದೌರ್
AAJ KA GUNDA	ಆಜ್ ಕಾ ಗುಂಡಾ
AAJ KA GUNDARAJ	ಆಜ್ ಕಾ ಗುಂಡರಾಜ್
AAJ KAL	ಆಜ್ ಕಲ್
AAJ KE ANGAAREY	ಆಜ್ ಕೆ ಅಂಗಾರೆ
AAJ KE SHAHANSHAH	ಆಜ್ ಕೆ ಶಹಂಶಾಹ್
AAJA RE O SAJNA	ಆಜ್ ರೆ ಒ ಸಜನಾ
AAJAAD	ಆಜಾದ್
AAKAANKSHAA	ಆಕರ್ಷಣಾ
AAKANKSHA	ಆಕಾಂಕ್ಷಾ
AAKARSHAN	ಆಕರ್ಷಣ್
AAKHRI CHEEKH	ಆಖಿರ್ ಚೀಖ್
AAKHRI CHETAWANI	ಆಖಿರ್ ಚೆತಾವನೀ
AAKHRI GHULAM	ಆಖಿರೀ ಗುಲಾಮ್
AAKHRI MUJRA	ಆಖಿರಿ ಮುಜರಾ
AAKHRI MUQABLA	ಅಖಿರಿ ಮುಕಾಬಲಾ
AAKHRI NISHCHAY	ಆಖಿರಿ ನಿಶ್ಚಯ್
AAKIFAH	ಆಕಿಫಾ
AAKRANT	ಆಕ್ರಾಂತ್
AALHA UDAL	ಆಲ್ಹಾ ಉದಲ್
AALHAD	ಆಲ್ಹಾದ್
AALIM	ಆಲಿಮ್
AALINGAN	ಆಲಿಂಗನ್
AAMER SOHAIL	ಆಮಿರ್ ಸೊಹೈಲ್
AAMILAH	ಆಮಿಲಾ
AAMINAH	ಆಮಿನಾ
AAMIR	ಆಮಿರ್
AAMIRAH	ಆಮೀರಾ
AAMNE SAMNE	ಆಮ್ಮೆ ಸಾಮ್ನೆ
AAN BAAN	ಆನ್ ಬಾನ್
AAN MILO SAJNA	ಆನ್ ಮಿಲೋ ಸಜನಾ
AANAND	ಆನಂದ್
AANANDAMAYEE	ಆನಂದಮಯೀ
AANANDINEE	ಆನಂದಿನೀ
AANANDINI	ಆನಂದಿನಿ
AANCHAL KE PHOOL	ಆಂಚಲ್ ಕೆ ಪೂಲ್
AANDHI AUR TOOFAN	ಆಂಧೀ ಔರ್ ತೂಫಾನ್
AANDHI TOOFAN	ಆಂಧೀ ತೂಫಾನ್
AANDHIYAN	ಆಂಧಿಯಾಂ
AANGAN	ಆಂಗನ್
AANGAN KI KALI	ಆಂಗನ್ ಕೀ ಕಲೀ
AANISAH	ಆನಿಸಾ
AANKH KA TARA	ಆಂಖ್ ಕಾ ತಾರಾ
AANKHEN	ಆಂಖೆ
AANKHON ANNKHON MEIN	ಆಂಖೋ ಆಂಖೋ ಮೆ
AANSOO	ಆಂಸೂ
AAP BEETI	ಆಪ್ ಬೀತಿ
AAP KA PYAR	ಆಪ್ ಕಾ ಪ್ಯಾರ್
AAP KE SATH	ಆಪ್ ಕಿ ಸಾಥ್
AAP KI KASAM	ಆಪ್ ಕಿ ಕಸಮ್
AAP KI KHATIR	ಆಪ್ ಕಿ ಖಾತಿರ್
AAP KI MAARZI	ಆಪ್ ಕಿ ಮರ್ಝೀ
AAP TO AISE NA THE	ಆಪ್ ತೊ ಐಸೆ ನಾ ಥೆ
AAQIB	ಆಕಿಬ್
AARADHANA	ಆರಾಧನಾ
AARAM	ಆರಾಮ್
AARAV	ಆರವ್
AAROHAN	ಆರೋಹಣ್
AARYAAVART	ಆರ್ಯಾವಾರ್ತ
AAS KA PANCHHI	ಆಸ್ ಕಾ ಪಂಛೀ
AASAMI	ಅಸ್ಸಾಮಿ
AASHA	ಆಶಾ
AASHAA	ಆಶಾ
AASHEESH	ಆಶಿಷ್
AASHIR	ಆಶಿರ್
AASHISH	ಆಶಿಷ್
AASIF	ಆಸಿಫ್
AASIM	ಆಸಿಂ
AASIMAH	ಆಸಿಮಾ
AASMAN SE GIRA	ಆಸಮಾನ್ ಸೆ ಗಿರಾ
AATIF	ಆತಿಫ್
AATIK	ಆತಿಕ್
AATIKAH	ಆತಿಕಾ
AATIRAH	ಆತಿರಾ
AATMAJA	ಆತ್ಮಜ
AAVISHKAAR	ಆವಿಷ್ಕಾರ್
AAYE DIN BAHAR KE	ಆಯೆ ದಿನ್ ಬಹಾರ್ ಕೆ
AAYI YAAD TERI	ಆಯಿ ಯಾದ್ ತೆರಿ
AAYUSHMAAN	ಆಯುಷ್ಮಾನ್
AAYUSHMAN	ಆಯುಷ್ಮಾನ್
AB AAYEGA MAZAA	ಅಬ್ ಆಯೆಗಾ ಮಝಾ
AB DILLI DOOR NAHIN	ಅಬ್ ದಿಲ್ಲಿ ದೂರ್ ನಹೀ
AB KYA HOGA	ಅಬ್ ಕ್ಯಾ ಹೋಗಾ
ABADIYAH	ಅಬಾದಿಯಾ
ABAHH	ಅಬಾ
ABAN LOYDCHILES	ಅಬಾನ್ ಲಾಯ್ಡ್‌ಚಿಲೀಸ್
ABANOOR	ಅಬನೂರ್
ABBAASEE	ಅಬ್ಬಾಸೀ
ABDUH SHAAHID	ಅಬ್ದು ಶಹೀದ್
ABDUH SHAHID	ಅಬ್ದು ಶಹೀದ್
ABDUL	ಅಬ್ದುಲ್
ABDUL ADHEEM	ಅಬ್ದುಲ್ ಅಧೀಮ್
ABDUL ADL	ಅಬ್ದುಲ್ ಅದಲ್
ABDUL AFUW	ಅಬ್ಜುಲ್ ಅಫೂವ್
ABDUL ALEEM	ಅಬ್ದುಲ್ ಅಲೀಂ
ABDUL ALIM	ಅಬ್ದುಲ್ ಅಲೀಂ
ABDUL AWWAL	ಅಬ್ದುಲ್ ಅವ್ವಲ್
ABDUL AZEEZ	ಅಬ್ದುಲ್ ಅಜೀಜ್
ABDUL AZIM	ಅಬ್ದುಲ್ ಅಜೀಮ್
ABDUL BARR	ಅಬ್ದುಲ್ ಬಾರ್
ABDUL BASIR	ಅಬ್ದುಲ್ ಬಸೀರ್
ABDUL FATAH	ಅಬ್ದುಲ್ ಫತಾ
ABDUL GAFOOR	ಅಬ್ದುಲ್ ಗಫೂರ್
ABDUL GAFUR	ಅಬ್ದುಲ್ ಗಫೂರ್
ABDUL HAAKIM	ಅಬ್ದುಲ್ ಹಾಕಿಂ
ABDUL HADI	ಅಬ್ದುಲ್ ಹದೀ
ABDUL HAFEED	ಅಬ್ದುಲ್ ಹಫೀದ್
ABDUL HAQ	ಅಬ್ದುಲ್ ಹಕ್
ABDUL HASIB	ಅಬ್ದುಲ್ ಹಸೀಬ್
ABDUL JABBAR	ಅಬ್ದುಲ್ ಜಬ್ಬಾರ್
ABDUL KABEER	ಅಬ್ದುಲ್ ಕಬೀರ್
ABDUL KAREEM	ಅಬ್ದುಲ್ ಕರೀಂ
ABDUL KHAALIQ	ಅಬ್ದುಲ್ ಖಾಲಿಕ್
ABDUL KHABEER	ಅಬ್ದುಲ್ ಖಬೀರ್
ABDUL MAALIK	ಅಬ್ದುಲ್ ಮಾಲಿಕ್
ABDUL MAJID	ಅಬ್ದುಲ್ ಮಜೀದ್
ABDUL MANNAAN	ಅಬ್ದುಲ್ ಮನ್ನಾನ್
ABDUL MATEEN	ಅಬ್ದುಲ್ ಮತೀನ್
ABDUL MATIN	ಅಬ್ದುಲ್ ಮತೀನ್
ABDUL MUAID	ಅಬ್ದುಲ್ ಮುಯೆದ್
ABDUL MUGHANEE	ಅಬ್ದುಲ್ ಮುಗಾನಿ
ABDUL MUHAASIN	ಅಬ್ದುಲ್ ಮುಹಾಸಿನ್
ABDUL MUHAAYAMEEN	ಅಬ್ದುಲ್ಲ ಮುಹಾಯಮೀನ್
ABDUL MUHAAYAMIN	ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್
ABDUL MUHAAYI	ಅಬ್ದುಲ್ ಮುಹಾಯಿ
