a'marie	ಅಮಾರೀ
aa gale lag ja	ಆ ಗಲೇ ಲಗ್ ಜಾ
aa'idah	ಆಇದಾ
aabhaa	ಆಭಾ
aabhijat	ಆಭಿಜಾತ್
aabidah	ಆಬಿದಾ
aabirah	ಆಬಿರಾ
aabish	ಆಬಿಶ್
aachaaryasutaa	ಆಚಾರ್ಯಸುತಾ
aachaarynandan	ಆಚಾರ್ಯನಂದನ್
aachaarynandana	ಆಚಾರ್ಯನಂದನಾ
aachaarysuta	ಆಚಾರ್ಯಸುತ
aacharya	ಆಚಾರ್ಯ
aacharyanandan	ಆಚಾರ್ಯನಂದನ್
aacharyanandanaa	ಆಚಾರ್ಯನಂದನಾ
aacharyasuta	ಆಚಾರ್ಯಸುತ
aacharyasutaa	ಆಚಾರ್ಯಸುತಾ
aacharynandana	ಆಚಾರ್ಯನಂದನ
aacharysuta	ಆಚಾರ್ಯಸುತ
aachrekar	ಆಚರೇಕರ್
aadarsh	ಆದರ್ಶ್
aadarshi	ಆದರ್ಶಿ
aadat se majboor	ಆದತ್ ಸೆ ಮಜಬೂರ್
aadesh	ಆದೇಶ್
aadharshila	ಆಧಾರಶೀಲಾ
aadhi raat ke baad	ಆದಿ ರಾತ್ ಕೆ ಬಾದ್
aadhunik	ಆಧುನಿಕ್
aadi	ಆದಿ
aadinaaraayan	ಆದಿನಾರಾಯಣ
aadinaarayan	ಆದಿನಾರಾಯಣ
aadinaraayan	ಆದಿನಾರಾಯಣ
aadishree	ಆದಿಶ್ರೀ
aadity	ಆದಿತ್ಯ
aaditya	ಆದಿತ್ಯ
aadityakeshav	ಆದಿತ್ಯಕೇಶವ್
aaditykeshav	ಆದಿತ್ಯಕೇಶವ್
aadmi	ಆದಮಿ
aadmi aur insaan	ಆದ್ಮಿ ಔರ್ ಇನ್ಸಾನ್
aafat	ಆಫತ್
aafiya	ಆಫಿಯಾ
aag hi aag	ಆಗ್ ಹಿ ಆಗ್
aag ka dariya	ಆಗ್ ಕಾ ದರಿಯಾ
aag ka toofan	ಆಗ್ ಕಾ ತೂಫಾನ್
aag ke sholay	ಆಗ್ ಕಿ ಶೋಲೋ
aagale	ಆಗಲೇ
aage ki soch	ಆಗ್ ಕೀ ಸೋಚ್
aahi	ಆಹಿ
aahlaadit	ಆಹ್ಲಾದಿತ್
aahlad	ಆಹ್ಲಾದ್
aahladit	ಆಹ್ಲಾದಿತ್
aahwanit	ಆಹ್ವಾನಿತ್
aaina	ಆಯಿನಾ
aaj ka arjun	ಆಜ್ ಕಾ ಅರ್ಜುನ್
aaj ka daur	ಆಜ್ ಕಾ ದೌರ್
aaj ka gunda	ಆಜ್ ಕಾ ಗುಂಡಾ
aaj kal	ಆಜ್ ಕಲ್
aaj ke angaarey	ಆಜ್ ಕೆ ಅಂಗಾರೆ
aaj ke shahanshah	ಆಜ್ ಕೆ ಶಹಂಶಾಹ್
aaja re o sajna	ಆಜ್ ರೆ ಒ ಸಜನಾ
aajaad	ಆಜಾದ್
aajinkya	ಆಜಿಂಕ್ಯ
aakaash	ಆಕಾಶ್
aakaasha	ಆಕಾಶ
aakanksha	ಆಕಾಂಕ್ಷಾ
aakasha	ಆಕಾಶ
aakhir	ಆಖಿರ್
aakhri cheekh	ಆಖಿರ್ ಚೀಖ್
aakhri chetawani	ಆಖಿರ್ ಚೆತಾವನೀ
aakhri ghulam	ಆಖಿರೀ ಗುಲಾಮ್
aakhri mujra	ಆಖಿರಿ ಮುಜರಾ
aakhri muqabla	ಅಖಿರಿ ಮುಕಾಬಲಾ
aakhri nishchay	ಆಖಿರಿ ನಿಶ್ಚಯ್
aakifah	ಆಕಿಫಾ
aakrant	ಆಕ್ರಾಂತ್
aalhad	ಆಲ್ಹಾದ್
aalim	ಆಲಿಮ್
aamer sohail	ಆಮಿರ್ ಸೊಹೈಲ್
aamilah	ಆಮಿಲಾ
aamir	ಆಮಿರ್
aamirah	ಆಮೀರಾ
aamne samne	ಆಮ್ಮೆ ಸಾಮ್ನೆ
aamod	ಆಮೋದ್
aan baan	ಆನ್ ಬಾನ್
aan milo sajna	ಆನ್ ಮಿಲೋ ಸಜನಾ
aanand	ಆನಂದ್
aanandamayee	ಆನಂದಮಯೀ
aanandinee	ಆನಂದಿನೀ
aanandini	ಆನಂದಿನಿ
aanandmayee	ಆನಂದಮಯೀ
aanandmayi	ಆನಂದಮಯಿ
aanchal ke phool	ಆಂಚಲ್ ಕೆ ಪೂಲ್
aandhi aur toofan	ಆಂಧೀ ಔರ್ ತೂಫಾನ್
aandhiyan	ಆಂಧಿಯಾಂ
aangan	ಆಂಗನ್
aangan ki kali	ಆಂಗನ್ ಕೀ ಕಲೀ
aanisah	ಆನಿಸಾ
aankh ka tara	ಆಂಖ್ ಕಾ ತಾರಾ
aankhen	ಆಂಖೆ
aankhon annkhon mein	ಆಂಖೋ ಆಂಖೋ ಮೆ
aap beeti	ಆಪ್ ಬೀತಿ
aap ka pyar	ಆಪ್ ಕಾ ಪ್ಯಾರ್
aap ke sath	ಆಪ್ ಕಿ ಸಾಥ್
aap ki kasam	ಆಪ್ ಕಿ ಕಸಮ್
aap ki khatir	ಆಪ್ ಕಿ ಖಾತಿರ್
aap ki maarzi	ಆಪ್ ಕಿ ಮರ್ಝೀ
aap to aise na the	ಆಪ್ ತೊ ಐಸೆ ನಾ ಥೆ
aaqib	ಆಕಿಬ್
aaqilah	ಆಕಿಲಾ
aaradhana	ಆರಾಧನಾ
aaram	ಆರಾಮ್
aarif	ಆರಿಫ್
aarohan	ಆರೋಹಣ್
aarop	ಆರೋಪ್
aas ka panchhi	ಆಸ್ ಕಾ ಪಂಛೀ
aasami	ಅಸ್ಸಾಮಿ
aasha	ಆಶಾ
aashaa	ಆಶಾ
aashiq	ಆಶಿಕ್
aashir	ಆಶಿರ್
aasif	ಆಸಿಫ್
aasim	ಆಸಿಂ
aasimah	ಆಸಿಮಾ
aasman se gira	ಆಸಮಾನ್ ಸೆ ಗಿರಾ
aatif	ಆತಿಫ್
aatik	ಆತಿಕ್
aavishkaar	ಆವಿಷ್ಕಾರ್
aaye din bahar ke	ಆಯೆ ದಿನ್ ಬಹಾರ್ ಕೆ
aayi yaad teri	ಆಯಿ ಯಾದ್ ತೆರಿ
aayushmaan	ಆಯುಷ್ಮಾನ್
aayushman	ಆಯುಷ್ಮಾನ್
aazadi	ಆಜಾದೀ
aazim	ಆಜಿಂ
ab aayega mazaa	ಅಬ್ ಆಯೆಗಾ ಮಝಾ
ab dilli door nahin	ಅಬ್ ದಿಲ್ಲಿ ದೂರ್ ನಹೀ
abadiyah	ಅಬಾದಿಯಾ
abahh	ಅಬಾ
abanoor	ಅಬನೂರ್
abanur	ಅಬನೂರ್
abaraar	ಅಬರಾರ್
abbaasee	ಅಬ್ಬಾಸೀ
abduh shaahid	ಅಬ್ದು ಶಹೀದ್
abduh shahid	ಅಬ್ದು ಶಹೀದ್
abdul	ಅಬ್ದುಲ್
abdul adheem	ಅಬ್ದುಲ್ ಅಧೀಮ್
abdul afuw	ಅಬ್ಜುಲ್ ಅಫೂವ್
abdul aleem	ಅಬ್ದುಲ್ ಅಲೀಂ
abdul alim	ಅಬ್ದುಲ್ ಅಲೀಂ
abdul awwal	ಅಬ್ದುಲ್ ಅವ್ವಲ್
abdul azeez	ಅಬ್ದುಲ್ ಅಜೀಜ್
abdul azim	ಅಬ್ದುಲ್ ಅಜೀಮ್
abdul barr	ಅಬ್ದುಲ್ ಬಾರ್
abdul basir	ಅಬ್ದುಲ್ ಬಸೀರ್
abdul fatah	ಅಬ್ದುಲ್ ಫತಾ
abdul gafoor	ಅಬ್ದುಲ್ ಗಫೂರ್
abdul haakim	ಅಬ್ದುಲ್ ಹಾಕಿಂ
abdul hafeed	ಅಬ್ದುಲ್ ಹಫೀದ್
abdul haq	ಅಬ್ದುಲ್ ಹಕ್
abdul jabbar	ಅಬ್ದುಲ್ ಜಬ್ಬಾರ್
abdul kabeer	ಅಬ್ದುಲ್ ಕಬೀರ್
abdul kareem	ಅಬ್ದುಲ್ ಕರೀಂ
abdul khaaliq	ಅಬ್ದುಲ್ ಖಾಲಿಕ್
abdul khabeer	ಅಬ್ದುಲ್ ಖಬೀರ್
abdul maalik	ಅಬ್ದುಲ್ ಮಾಲಿಕ್
abdul majid	ಅಬ್ದುಲ್ ಮಜೀದ್
abdul mannaan	ಅಬ್ದುಲ್ ಮನ್ನಾನ್
abdul mateen	ಅಬ್ದುಲ್ ಮತೀನ್
abdul matin	ಅಬ್ದುಲ್ ಮತೀನ್
abdul muaid	ಅಬ್ದುಲ್ ಮುಯೆದ್
abdul mughanee	ಅಬ್ದುಲ್ ಮುಗಾನಿ
abdul muhaasin	ಅಬ್ದುಲ್ ಮುಹಾಸಿನ್
abdul muhaayamin	ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್
abdul muhaayi	ಅಬ್ದುಲ್ ಮುಹಾಯಿ
abdul muhaaymin	ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್
abdul muid	ಅಬ್ದುಲ್ ಮುಯೀದ್
abdul mujeeb	ಅಬ್ದುಲ್ ಮುಜೀಬ್
abdul munim	ಅಬ್ದುಲ್ ಮುನೀಂ
abdul muqsit	ಅಬ್ದುಲ್ ಮುಕ್ಸೆತ್
abdul musawwir	ಅಬ್ದುಲ್ ಮುಸವ್ವಿರ್
abdul muti	ಅಬ್ದುಲ್ ಮುತಿ
abdul muzanni	ಅಬ್ದುಲ್ ಮುಜಾನ್ನಿ
abdul qahhar	ಅಬ್ದುಲ್ ಕಹಾರ್
abdul raheem	ಅಬ್ದುಲ್ ರಹೀಂ
abdul rahim	ಅಬ್ದುಲ್ ರಹೀಂ
abdul tawwab	ಅಬ್ದುಲ್ ತವ್ವಾಬ್
abdul waajid	ಅಬ್ದುಲ್ ವಾಜಿದ್
abdul wadud	ಅಬ್ದುಲ್ ವದೂದ್
abdul wahid	ಅಬ್ದುಲ್ ವಹೀದ್
abdul wajeed	ಅಬ್ದುಲ್ ವಜೀದ್
abdul walee	ಅಬ್ದುಲ್ ವಲೀ
abdul waliy	ಅಬ್ದುಲ್ ವಲೀ
abdul warith	ಅಬ್ದುಲ್ ವರೀತ್
abdur rahaman	ಅಬ್ದುರ್ ರಹಮಾನ್
abdur rauf	ಅಬ್ದುರ್ ರವೂಫ್
abdus	ಅಬ್ದುಸ್
abdus saboor	ಅಬ್ದುಸ್ ಸಬೂರ್
abdus sabur	ಅಬ್ದುಸ್ ಸಬೂರ್
abdus salaam	ಅಬ್ದುಸ್ ಸಲಾಂ
abdus sameei	ಅಬ್ದುಸ್ ಸಮೀ
