AACHEN	아헨
AARON	아론
AASEN	오센
ABADAN	아바단
ABBA	아바
ABBAS	아바스
ABBE	아베
ABBOTT	애버트
ABDUL	압둘
ABDULLAH	압둘라
ABDUS	압두스
ABEBE	아베베
ABEGG	아베그
ABEL	아벨
ABELL	아벨
ABERCROMBY	애버크롬비
ABERDEEN	애버딘
ABERNETHY	애버네시
ABIDJAN	아비장
ABIGAIL	애비개일
ABILENE	애빌린
ABIR	아비르
ABRAHAM	아브라함
ABRAM	아브람
ABRAMS	아브람스
ABREU	어브레우
ABRUZZI	아브루치
ABUJA	아부자
ACAPULCO	아카풀코
ACCRA	아크라
ACHARD	아샤르
ACHESON	애치슨
ACHILLES	아킬레스
ACHIM	아심
ACKERMANN	아커만
ACOSTA	아코스타
ACTON	액튼
ADA	에이더
ADALBERT	아달베르트
ADAM	아담
ADAMOV	아다모프
ADAMS	애덤스
ADANI	아다니
ADDAMS	애덤스
ADDINGTON	애딩턴
ADDISON	애디슨
ADEL	아델
ADELAIDE	애들레이드
ADEN	아덴
ADENAUER	아데나워
ADLER	아들러
ADOLF	아돌프
ADOLFO	아돌포
ADOLPHE	아돌프
ADONIS	아도니스
ADORNO	아도르노
ADRIAN	에이드리언
ADRIANO	아드리아노
ADRIENNE	에이드리엔
AFANASIEV	아파나시예프
AFGHANISTAN	아프가니스탄
AFRICA	아프리카
AGASSI	애거시
AGASSIZ	아가시
AGNELLI	아녤리
AGNES	아그네스
AGNEW	애그뉴
AGOSTINO	아고스티노
AGRICOLA	아그리콜라
AGRIPPA	아그리파
AGRIPPINA	아그리피나
AGUASCALIENTES	아과스칼리엔테스
AGUIRRE	아기레
AHERN	어헌
AHMAD	아마드
AHMADABAD	아마다바드
AHO	아호
AIKEN	에이킨
AILEEN	에일린
AITKEN	에이킨
AJACCIO	아작시오
AKBAR	아크바르
AKHMATOVA	아흐마토바
AKRON	애크런
ALABAMA	앨라배마
ALAIN	알랭
ALAMEDA	알러미다
ALAN	알란
ALASKA	알래스카
ALBA	알바
ALBAN	알반
ALBANI	알바니
ALBANIA	알바니아
ALBANO	알바노
ALBANY	올버니
ALBERS	알베르스
ALBERT	앨버트
ALBERTA	알바타
ALBERTI	알베르티
ALBERTO	알베르토
ALBERTVILLE	알베르빌
ALBINONI	알비노니
ALBRECHT	알브레히트
ALBUQUERQUE	앨버커키
ALDANOV	알다노프
ALDER	알더
ALDINGTON	올딩턴
ALDO	알도
ALDRIN	올드린
ALEC	앨릭
ALECSANDRI	알렉산드리
ALEJANDRO	알레한드로
ALEKSANDER	알렉산더
ALEKSANDR	알렉산드르
ALEKSEEV	알렉세예프
ALENCAR	알렌카르
ALESSANDRO	알레산드로
ALEX	알렉스
ALEXANDER	알렉산더
ALEXANDRA	알렉산드라
ALEXANDRE	알렉상드르
ALEXANDRIA	알렉산드리아
ALEXEI	알렉세이
ALEXIS	알렉시
ALF	알프
ALFA	알파
ALFIERI	알피에리
ALFONS	알폰스
ALFONSIN	알폰신
ALFONSO	알폰소
ALFORD	알포드
ALFRED	앨프레드
ALFREDO	알프레도
ALGECIRAS	알헤시라스
ALGER	알제
ALGERIA	알제리
ALGIERS	알제
ALGREN	올그런
ALI	알리
ALICE	엘리스
ALISON	앨리슨
ALLAH	알라
ALLAN	앨런
ALLARD	알라드
ALLEN	알렌
ALLENDE	아옌데
ALLENTOWN	알렌타운
ALLON	알론
ALMA	알마
ALMEIDA	알메이다
ALMQVIST	알름크비스트
ALOYSIUS	알루아시우스
ALPHONSE	알퐁스
ALPHONSO	알폰소
ALSTON	엘스톤
ALT	알트
ALTAMIRA	알타미라
ALTENBERG	알텐베르크
ALTHUSSER	알튀세르
ALTISSIMO	알티시모
ALTMAN	올트먼
ALTON	알톤
ALVA	알바
ALVARES	알바레스
ALVAREZ	앨버레즈
ALVARO	알바로
ALVIN	앨빈
AMADO	아마도
AMALIA	아말리아
AMANDA	아만다
AMARA	아마라
AMATO	아마토
AMAZON	아마존
AMBER	앰버
AMBLER	앰블러
AMBROSE	앰브로즈
AMBROSIUS	암브로시우스
AMELIA	아멜리아
AMERICA	아메리카
AMES	에임스
AMIEL	아미엘
AMIENS	아미앵
AMIN	아민
AMIR	아미르
AMMAN	암만
AMMON	아몬
AMON	아몬
AMONTONS	아몽통
AMOS	아모스
AMRITSAR	암리차르
AMSTERDAM	암스테르담
AMUNDSEN	아문젠
AMY	에이미
AMYOT	아미요
ANA	아나
ANAHEIM	애너하임
ANATOLE	아나톨
ANATOLIA	아나톨리아
ANCHORAGE	앵커리지
ANCONA	안코나
ANDALUSIA	안달루시아
ANDERS	안데르스
ANDERSEN	안데르센
ANDERSON	앤더슨
ANDERSSON	안데르손
ANDERTON	안더톤
ANDES	안데스
ANDORRA	안도라
ANDRE	안드레
ANDREA	안드레아
ANDREAS	안드레아스
ANDREEV	안드레예프
ANDREI	안드레이
ANDREOTTI	안드레오티
ANDRES	안드레스
ANDREW	안드레
ANDREWS	앤드루스
ANDRI	안드리치
ANDROPOV	안드로포프
ANDRZEJ	안제이
ANDRZEJEWSKI	안제예프스키
ANDY	앤디
ANFINSEN	안핀슨
ANGARA	안가라
ANGEL	엔젤
ANGELA	앙겔라
ANGELES	엔젤레스
ANGELIKA	앙겔리카
ANGELL	에인절
ANGELO	안젤로
ANGELOU	앤젤루
ANGLE	앵글
ANGOLA	앙골라
ANGORA	앙고라
ANGUS	앵거스
ANIBAL	아니발
ANITA	아니타
ANKARA	앙카라
ANKRAH	안크라
ANN	앤
ANNA	안나
ANNABEL	아나벨
ANNAPOLIS	아나폴리스
ANNE	안네
ANNEMARIE	아네마리
ANNETTE	아네트
ANOUILH	아누이
ANSEL	언셀
ANSERMET	앙세르메
ANSON	앤슨
ANSTEY	앤스티
ANTAL	앤탈
ANTANANARIVO	안타나나리보
ANTE	안테
ANTELAMI	안텔라미
ANTHONY	안토니오
ANTOINE	앙투안
ANTON	안톤
ANTONESCU	안토네스쿠
ANTONIN	안토닌
ANTONINA	안토니나
ANTONIO	안토니오
ANTONIUS	안토니우스
ANTONOV	안토노프
ANTWERP	앤트워프
ANWAR	안와르
ANWARI	안와리
ANZENGRUBER	안첸그루버
APELT	아펠트
APHRA	애프라
APIA	아피아
APOLLINAIRE	아폴리네르
APOLLO	아폴로
APPALACHIA	아파라치아
APPEL	아펠
APPENZELLER	아펜젤러
APPERT	아페르
APPIA	아피아
APPLETON	애플턴
APTIDON	압티돈
AQUINO	아키노
ARAB	아랍
ARAD	아라드
ARAGO	아라고
ARAGON	아라곤
ARAM	아람
ARBER	아르버
ARBOLEDA	아르볼레다
ARBOS	아르보스
ARBUZOV	아르부조프
ARCE	아르세
ARCOS	아르코스
ARDEN	아든
ARDENNES	아르덴
ARENAS	아레나스
ARETINO	아레티노
ARGENTINA	아르헨티나
ARGHEZI	아르게지
ARI	애리
ARIE	아리에
ARIEL	아리엘
ARIOSTO	아리오스토
ARIZONA	애리조나
ARKANSAS	아칸소
ARLINGTON	알링턴
ARMAND	아르망
ARMANDO	아르만도
ARMENIA	아르메니아
ARMINIUS	아르미니우스
ARMSTRONG	암스트롱
ARNALDO	아르날도
ARNAULD	아르노
ARNDT	아른트
ARNE	아르네
ARNHEM	아른헴
ARNIM	아르님
ARNO	아르노
ARNOLD	아놀드
ARNOLDSON	아르놀드손
ARON	아롱
ARP	아르프
ARRHENIUS	아레니우스
ARROYO	아로요
ARTHER	아서
ARTHUR	아르투르
ARTIGAS	아르티가스
ARTSYBASHEV	아르치바셰프
ARTURO	아르투로
ARUBA	아루바
ARVID	아르비드
ASA	아사
ASAM	아잠
ASCH	애쉬
ASH	애쉬
ASHCROFT	애슈크로프트
ASHER	아셀
ASHKENAZI	아시케나지
ASHKHABAD	아슈하바트
ASHLEY	애슐리
ASHRAF	아슈라프
ASHTON	애슈턴
ASIA	아시아
ASIMOV	아시모프
ASKE	아스케
ASLAN	아슬란
ASMARA	아스마라
ASPINALL	아스피날
ASQUITH	애스퀴스
ASSAD	아사드
ASSER	아세르
ASTANA	아스타나
ASTLEY	애스틀리
ASTON	애스턴
ASTRAKHAN	아스트라한
ASTURIAS	아스투리아스
ASUNCION	아순시온
ATAHUALPA	아타왈파
ATHABASCA	애서배스카
ATHANASIUS	아타나시우스
ATHENS	아테네
ATHOS	에이소스
ATLANTA	애틀랜타
ATLAS	아틀라스
ATTAR	애타
ATTENBOROUGH	애튼버러
ATTWOOD	애투드
ATWOOD	애투드
AUBERT	오베르
AUBREY	오브리
AUCKLAND	오클랜드
AUDEN	오든
AUDREY	오드리
AUDUBON	오듀본
AUER	아우어
AUERBACH	아우어바흐
AUGUST	아우구스트
AUGUSTA	오거스타
AUGUSTIN	오구스틴
AUGUSTINE	어거스틴
AUGUSTO	아우구스토
AUGUSTUS	아우구스투스
AUKEN	아우켄
AURIOL	오리올
AURORA	아우로라
AUSTEN	오스틴
AUSTERLITZ	아우스터리츠
AUSTIN	오스틴
AUSTRALIA	오스트레일리아
AUSTRIA	오스트리아
AVA	에바
AVELLANEDA	아베야네다
AVENARIUS	아벤나리우스
AVERY	에버리
AVOGADRO	아보가드로
AVRAHAM	아브라함
AVVAKUM	아바쿰
AXEL	악셀
AXELROD	액설로드
AYLWIN	아일윈
AZERBAIJAN	아제르바이잔
AZHARI	아자리
BAADE	바데
BAAL	바알
BABBAGE	배비지
BABBITT	바비트
BABCOCK	뱁콕
BABE	베이브
BABEUF	바뵈프
BABS	밥스
BABSON	뱁슨
BABYLON	바빌론
BACCELLI	바셀리
BACCHUS	바커스
BACH	바흐
BACHELARD	바슐라르
BACKHAUS	바크하우스
BACON	베이컨
BADAJOZ	바다호스
BADEN	바덴
BAEKELAND	베이클랜드
BAER	베어
BAFFIN	배핀
BAGEHOT	배젓
BAGHDAD	바그다드
BAHAR	바하르
BAHR	바르
BAHRAIN	바레인
BAIER	바이어
BAILEY	베일리
BAINBRIDGE	베인브리지
BAIRD	베어드
BAJER	바예르
BAKER	베이커
BAKERSFIELD	베커즈필드
BAKHTIN	바흐친
BAKST	박스트
BAKU	바쿠
BAKUNIN	바쿠닌
BALAS	발라스
BALBOA	발보아
BALCH	볼치
BALDUNG	발둥
BALDUS	발두스
BALDWIN	볼드윈
BALENCIAGA	발렌시아가
BALES	베일즈
BALFOUR	발푸어
BALI	발리
BALL	볼
BALLARD	발라드
BALMER	발머
BALTIMORE	볼티모어
BALZAC	발자크
BAMAKO	바마코
BAMBER	뱀버
BAMBERGER	뱀버거
BANACH	바나흐
BANDARANAIKE	반다라나이케
BANDEIRA	반데이라
BANDELLO	반델로
BANG	방
BANGALORE	방갈로르
BANGEMANN	방게만
BANGKOK	방콕
BANGLADESH	방글라데시
BANGUI	방기
BANJUL	반줄
BANKS	뱅크스
BANTING	밴팅
BANVILLE	방빌
BARBADOS	바베이도스
BARBARA	바버라
BARBER	바버
BARCELONA	바르셀로나
BARDEEN	바딘
BARDEM	바뎀
BARENTS	바렌츠
BARI	바리
BARKLEY	바클리
BARLACH	바를라흐
BARLETTA	바를레타
BARMEN	바르멘
BARNABY	바르나비
BARNARD	바너드
BARNES	바네즈
BARON	바론
BARONE	바로네
BARRANQUILLA	바랑키야
BARRE	바레
BARRETT	바렛
BARRIE	배리
BARRIOS	바리오스
BARROSO	바로수
BARRY	배리
BARRYMORE	베리모어
BARSTOW	바르스토우
BART	바트
BARTH	바르트
BARTHES	바르트
BARTLETT	바틀릿
BARTLEY	바트리
BARTOLOMMEO	바르톨롬메오
BARTON	바턴
BARUCH	바루크
BASEL	바젤
BASIE	베이시
BASIL	배절
BASIN	바신
BASOV	바소프
BASQUE	바스크
BASRA	바스라
BASS	배스
BASSETERRE	바스테르
BASSETT	바셋
BAST	바스트
BASTIAN	바스티안
BASU	바수
BATAILLE	바타유
BATCHELOR	배첼러
BATES	베이츠
BATESON	베이트슨
BATH	바스
BATMAN	배트맨
BATONI	바토니
BATTLE	배틀
BATY	바티
BATYUSHKOV	바튜슈코프
BAUCUS	바크스
BAUER	바우어
BAUMEISTER	바우마이스터
BAUMGARTEN	바움가르텐
BAUSCH	바우슈
BAUTISTA	바티스타
BAXTER	백스터
BAYARD	바야르
BAYER	바이어
BAYLE	벨
BAYLEY	베이레이
BAYLOR	배일러
BAYONNE	바욘느
BAYREUTH	바이로이트
BAZIN	바쟁
BEADLE	비들
BEAR	베아
BEARD	비어드
BEARDSLEY	비어즐리
BEATRICE	베아트리체
BEATRIX	베아트릭스
BEATTIE	비티
BEATTY	비티
BEAUCHAMP	보샹
BEAUFORT	보퍼트
BEAUMARCHAIS	보마르셰
BEAUMONT	바몬트
BEAUVOIR	보부아르
BEAVERBROOK	비버브룩
BEBEL	베벨
BECHER	베허
BECKENBAUER	베켄바우어
BECKER	베커
BECKET	베케트
BECKETT	베케트
BECKMANN	베크만
BECKY	베키
BEDDOES	베도스
BEDFORD	베드퍼드
BEDNORZ	베드노르츠
BEECHAM	비첨
BEERNAERT	베르나르트
BEETS	베츠
BEGIN	베긴
BEHAIM	베하임
BEHN	벤
BEHRENS	베렌스
BEHRING	베링
BEHRMAN	베어먼
BEILA	베이라
BEIQI	베이치
BEIRUT	베이루트
BELARUS	벨로루시
BELASCO	벨라스코
BELCHER	벨처
BELFAST	벨파스트
BELFORT	벨포
BELGIUM	벨기에
BELGRADE	벨그라드
BELIAEV	벨리아에프
BELIZE	벨리즈
BELL	벨
BELLAMY	벨러미
BELLEVUE	벨레뷰
BELLMAN	벨만
BELLOC	벨록
BELLOW	벨로
BELMOPAN	벨모판
BEN	벤
BENACERRAF	베나세라프
BENARES	베나레스
BENAVIDES	베나비데스
BENDA	방다
BENDIX	벤딕스
BENEDETTO	베네데토
BENEDICT	베네딕트
BENGHAZI	벵가지
BENGT	벵트
BENIGNO	베니그노
BENIN	베냉
BENITEZ	베니테즈
BENITO	베니토
BENJAMIN	뱅자맹
BENN	벤
BENNETT	베넷
BENNY	베니
BENSON	벤슨
BENTHAM	벤담
BENTINCK	벤팅크
BENTON	벤턴
BENVENUTO	벤베누토
BENZ	벤츠
BERCHEM	버쳄
BEREGOVOY	브르고부아
BERENGER	베린저
BERENSON	베런슨
BERG	버그
BERGEN	베르겐
BERGENGRUEN	베르겐그륀
BERGER	버거
BERGERON	베르예론
BERGIUS	베르기우스
BERGMAN	버그먼
BERGMANN	베르크만
BERGSON	베르그송
BERING	베링
BERKELEY	바클리
BERKSHIRE	바크셔
BERLAGE	베를라헤
BERLIN	베를린
BERLIOZ	베를리오즈
BERMAN	버만
BERN	베른
BERNADETTE	버나데트
BERNAL	버널
BERNANOS	베르나노스
BERNARD	버나드
BERNARDINO	베르나르디노
BERNARDO	베르나르도
BERNAUER	베르나워
BERND	베른트
BERNE	베른
BERNHARD	번하드
BERNHARDT	베르나르
BERNHEIM	베른하임
BERNIER	베르니에
BERNOULLI	베르누이
BERNSTEIN	번스타인
BERRY	베리
BERT	베르트
BERTEL	베르텔
BERTHOLD	베르톨트
BERTI	베르디
BERTIE	버티
BERTIL	베르틸
BERTIN	베르탱
BERTINI	버티니
BERTO	베르토
BERTRAM	베르트람
BERTRAND	베르트랑
BERWICK	베릭
BERZELIUS	베르셀리우스
BESANCON	브장송
BESSARABIA	베사라비아
BESSEL	베셀
BESSEMER	베세머
BESSIE	베시
BETHE	베테
BETHEL	베델
BETHELL	베델
BETHESDA	베데스다
BETHLEHEM	베들레헴
BETJEMAN	베처먼
BETTINO	베티노
BETTY	베티
BEUST	보이스트
BEUYS	보이스
BEVAN	베번
BEVERIDGE	베버리지
BEVERLEY	베벌리
BEVERLY	비버리
BEVIN	베빈
BEYER	바이어
BEZA	베자
BHUTAN	부탄
BIAGIO	비아지오
BIAS	비아스
BIBER	비버
BIBLE	바이블
BIDDLE	비들
BIDEN	바이든
BIDWELL	비드웰
BIEBER	비버
BIENVILLE	비엔빌
BIHAR	비하르
BIKILA	비킬라
BILBAO	빌바오
BILL	빌
BILLINGS	빌링스
BILLY	빌리
BILOXI	빌록시
BINDER	바인더
BINDING	빈딩
BINET	비네
BING	빙
BINGHAM	빙햄
BINOCHE	비노슈
BINSWANGER	빈스방거
BINYON	비니언
BION	비온
BIRKHOFF	버코프
BIRMINGHAM	버밍엄
BISHKEK	비슈케크
BISHOP	비숍
BISMARCK	비즈마크
BISSAU	비사우
BISSET	비셋
BIYA	비야
BIZET	비제
BJERKNES	비에르크네스
BJORK	비요크
BJORKLUND	비요르크룬트
BLACHE	블라슈
BLACK	블랙
BLACKBURN	블랙번
BLACKETT	블래킷
BLACKPOOL	블랙풀
BLACKSTONE	블랙스톤
BLACKWELL	블랙웰
BLAGA	블라가
BLAINE	블레인
BLAIR	블레어
BLAKE	블레이크
BLAKESLEE	블레이크슬리
BLANC	블랑
BLANCHARD	블랑샤르
BLANCHE	블랑쉬
BLANCO	블랑코
BLAND	블랜드
BLANQUI	블랑키
BLASS	브레스
BLINDER	블라인더
BLIXEN	블릭센
