abduh	עבדוה
ackerman	אקרמאן
acrobat	אקרובאט
adriana	אדריאנא
adriano	אדריאנו
agassi	אגאסי
ajram	ע'גרם
alanwar	אלאנואר
alfons	אלפונס
alice	אליס
allan	אלאן
allen	אלן
allenby	אלנבי
aloni	אלוני
amartya	אמארטיא
ambrose	אמברוס
amram	עמרם
anastasia	אנאסטייז'ה
anastasius	אנאסטאסיוס
anders	אנדרז
andre	אנדריי
ankara	אנקרה
annabi	ענאבי
annunziata	אנונסיאטא
apollinaris	אפולינאריס
apolo	אפולו
apophis	אפופיס
arae	אראי
aref	עארף
arthur	ארתור
ashdod	אשדוד
asher	אשר
ashkenazi	אשכנזי
ashraf	אשרף
asimo	אסימו
asmara	אסמרא
asror	אסרור
atef	עאטף
atletico	אטלטיקו
audo	אודו
aurelius	אוריליוס
avram	אברם
avro	אברו
ayil	עאיל
azmi	עזמי
azzam	עזאם
baal	בעל
babangida	באבנגידא
badu	בדו
baekeland	ביקלאנד
bagheri	באגרי
baher	באהר
bahi	באהי
bakar	בקר
bakari	באקארי
bakdash	בקדאש
balaton	באלאטון
balbo	באלבו
ballesta	באייסטא
bambi	באמבי
bandar	באנדאר
bangka	באנגקא
bangkok	באנקוק
barbarossa	בארבארוסא
barbra	בארברא
barmos	בארמוס
barrancos	באראנקוס
barro	בארו
bartlett	בארטלט
baruch	ברוך
barzagli	בארזאלי
bassala	באסאלא
bassila	באסילא
basten	באסטן
bathory	באטורי
batista	באטיסטא
batt	באט
baume	בום
baykal	באיקאל
beatrice	ביאטריס
becker	בקר
bedjaoui	בג'אוי
beiteinu	ביתנו
bellamy	בילאמי
bellugi	בלוגי
bem	בם
benito	ביניטו
bennington	בנינגטון
bergeroo	בירגירו
berkman	בירקמאן
berlin	ברלין
bermuda	ברמודא
bernadotte	ברנאדוט
bernie	ברני
berti	ברטי
bertolt	ברטולט
beyonce	ביונסי
bhutto	בוטו
bigon	ביגון
bilic	ביליטש
bilirubin	בילירובין
binet	בינה
bloch	בלוך
blunt	בלאנט
bobby	בובי
boissier	בויסייר
bola	בולא
boleyn	בולין
boll	בול
boniek	בוניק
bonnie	בוני
bora	בורא
bork	בורק
borlaug	בורלוג
boruc	בורוטש
boulares	בולעראס
bourdieu	בורדיו
bozanic	בוזאניטש
brede	ברידי
bremner	ברימנר
breslin	ברסלין
brodie	ברודי
broz	ברוז
brunei	ברוניי
buarque	בוארק
buddha	בודהא
bugatti	בוגאטי
buhari	בוהארי
buisson	בויסון
bull	בול
bunche	באנש
bunting	באנטינג
buretsu	בוריטסו
bursac	בורסאטש
caan	קאן
cabanas	קאבאנאס
cabrini	קאבריני
cagliari	קאליארי
cal	קאל
calabria	קאלאבריא
calais	קאלה
calum	קאלום
camataru	קאמאטארו
camby	קאמבי
cameron	קאמירון
campos	קאמפוס
camps	קאמפס
canning	קאנינג
canova	קאנובא
caracas	קאראקאס
cardenosa	קארדינוסא
carell	קארל
carini	קאריני
carla	קארלא
carlton	קארלטון
carroll	קארול
carson	קארסון
case	קייס
cassandra	קאסאנדרא
cathcart	קאתקארט
catton	קאטון
cetin	ג'טין
chadili	שאדלי
chadwick	צ'אדויק
chafik	שפיק
chaiman	צ'אימאן
chamberlain	צ'יימברלין
chan	צ'אן
chandra	צ'אנדרא
charalambos	צ'אראלאמבוס
chasseriau	קאסיריו
cheadle	צ'ידל
chedli	שאדלי
cheik	שיך
chepita	צ'פיטה
chovanec	צ'ובאניטש
chraibi	שראיבי
christiaan	קריסטיאן
christian	קריסטיאן
christina	קריסטינא
christophe	קריסטוף
